0,1,2,3,4,5,6,7,8,Sample
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,RNA_B11_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_16
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,RNA_B11_17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_18
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_19
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B11_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_23
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,RNA_B11_24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batch_Mean
